Nudeln mit Gorgonzola;yes;https://www.kuechengoetter.de/rezepte/nudeln-mit-gorgonzolasauce-10153;200g Gorgonzola\n200ml Schmand\n3 Knoblauchzehen\nChilli\nSalz\nPfefferHähnchencurry
Currywurst;no;null;null
Spinatspaghetti;yes;null;Spaghetti\nFeta\nKräuterfrischkäse\nSpinat\nKnoblauch
Italienischer Nudelsalat;yes;null;null
Zucchini-Feta Auflauf;yes;null;Zucchini\nFeta\nMini Tomaten
Wraps;no;null;Wraps\nHackfleisch\nBohnen\nMais\nAvocado\nSchmand\nKäse\nSalat\nGurke
Kartoffelgratin;yes;null;Kartoffeln\nMilch\nSahne
Tomaten-Garnelen Nudeln;yes;null;Garnelen\nCocktailtomaten\nCreme fraiche
Gyros;no;null;Gyros\nKnoblauchkartoffeln\nMini Gurke\ngriechischer Joghurt
Fischstäbchen;no;null;Fischstäbchen\nSpinat\nMilch\nKartoffelpüree
Nudeln mit Tomaten;yes;https://www.chefkoch.de/rezepte/1159191222075070/Nudeln-mit-marinierten-Cherrytomaten-und-Frischkaese.html?utm_source=whatsapp;null
Flammkuchen;no;null;Flammkuchenteig\nLauch\nZwiebeln\nSpeckwürfel\nSchmand
Hähnchen mit Kartoffeln;no;null;Hähnchenschenkel\nKartoffeln\nsaure Sahne\nZitrone
Lende mit Kroketten;no;null;Schweinelende\nKroketten\nSchmelzkäse
Bifteki;no;null;Hackfleisch\nEi\nFeta\nSemmelbrösel\nZwiebel\ngr. Joghurt\nkleine Gurke\nKnoblauchkartoffeln
Pizza;no;null;null
Pizzabrötchen;no;null;Brötchen\nSahne\nKetchup\nPilze\nKäse\nSchinken\nMais\nSalamibla
Taco-"Salat";no;null;Tortilla Chips\nTortillas Soße\nMais\nSalat\nGurke\nKäse\nBohnen\nHackfleisch
Lachslasagne;yes;https://www.chefkoch.de/amp/rezepte/348581119961196/Lachs-Lasagne-mit-Spinat.html;null
Geschnetzeltes Züricher Art;no;null;Geschnetzeltes\nReis\nPilze\nRahmsoße
Lasagne;no;null;Hackfleisch\nLasagnemischung\nSchmand\nKäse
Hähnchencurry;no;https://www.chefkoch.de/rezepte/1069361212490339/Haehnchen-Ananas-Curry-mit-Reis.html;Hähnchenbrustfilet\nSchmelzkäse\nSahne\nReis
